"","hh_id","d1","d_start","d2","index_random","random_number","random_percentage_price","d_amount","d_3","d_3b","d_3b_oth","d_4","d_4b","d_4b_oth","d_5","d_5b","d_5b_oth","d_6","d_6b","d_6b_oth","d_7","d_8","d_8oth","d_9","d_10","elc_aggr_tier","locality"
"2655",10043508021501,"No","2017-12-02T08:05:01-05:00",7,5,1,10000,10000,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3000,1500,"Tier 0",0
"2656",10043508021602,"No","2017-12-02T06:15:03-05:00",2,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,200,"Tier 0",0
"2657",10043508021801,"No","2017-12-02T04:29:02-05:00",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",888,888,"Tier 0",0
"2658",10043508021902,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 1",0
"2659",10043508021903,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 0",0
"2660",10043508022004,"No","2017-12-02T08:26:05-05:00",2,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",5000,2000,"Tier 0",0
"2661",10043508022301,"No","2017-12-02T06:50:08-05:00",1,1,0.29,2900,2900,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3500,500,"Tier 0",0
"2662",10043508022402,"No","2017-12-02T04:31:35-05:00",1,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",5000,500,"Tier 0",0
"2663",10043508022501,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 1",0
"2664",10043508022502,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2665",11000523260501,"No","2017-12-14T04:37:26",2,0,0.14,1400,1400,"No","Electricity service is unreliable","","No","Do not need grid connection","",NA,NA,"",NA,NA,"",NA,NA,"",10000,300,"Tier 0",1
"2666",11000523261001,"No","2017-12-14T07:50:14",2,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Do not need grid connection","",NA,NA,"",NA,NA,"",NA,NA,"",5000,500,"Tier 0",1
"2667",11000523261701,"No","2017-12-14T06:07:35",2,2,0.43,4300,4300,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",8000,500,"Tier 0",1
"2668",11000523261901,"No","2017-12-14T07:05:50",3,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3000,300,"Tier 0",1
"2669",11000523262101,"No","2017-12-14T05:25:27",1,1,0.29,2900,2900,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",7000,500,"Tier 0",1
"2670",11000523262201,"No","2017-12-14T04:50:09",2,4,0.71,7100,7100,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",1500,500,"Tier 0",1
"2671",11000523262301,"No","2017-12-14T06:23:46",1,2,0.43,4300,4300,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3000,500,"Tier 0",1
"2672",11000523262801,"No","2017-12-14T07:53:45",2,1,0.29,2900,2900,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",4000,500,"Tier 0",1
"2673",11000523262901,"No","2017-12-14T06:17:42",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",1
"2674",11000523263101,"No","2017-12-14T07:50:11",1,1,0.29,2900,2900,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",1
"2675",11000523263301,"No","2017-12-14T10:25:53",1,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",1
"2676",11000523263401,"No","2017-12-14T07:49:21",1,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2500,200,"Tier 0",1
"2677",11000523264001,"No","2017-12-14T06:25:45",1,1,0.29,2900,2900,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2500,150,"Tier 0",1
"2678",11000523264401,"No","2017-12-14T04:43:45",1,3,0.57,5699,5699,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3000,150,"Tier 0",1
"2679",11000526400401,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2680",11000526400502,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 4",0
"2681",11000526401601,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2682",11000526401701,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2683",11000526402301,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2684",11000526402601,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2685",11000526402901,"No","2017-12-13T08:47:26",2,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",1000,100,"Tier 0",0
"2686",11000526403001,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",0
"2687",11000526403101,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",0
"2688",11000526403601,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 4",0
"2689",11000526403901,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2690",11000526404301,"No","2017-12-13T08:08:01",2,2,0.43,4300,4300,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2000,500,"Tier 0",0
"2691",11000526404701,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2692",11000526404901,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2693",11001500200401,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",1
"2694",11001500201301,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",1
"2695",11001500201601,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",1
"2696",11001500202501,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",1
"2697",11001500203201,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 4",1
"2698",11001500203301,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",1
