"","hh_id","g2","g3","g_4","g_5","g_6","g_7","g_8","g_9","interview__key","cs_aggr_tier","elc_aggr_tier","locality"
"11891",10028507381901,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11892",10028507381901,"Flashlights","Yes",3,2500,12,15,"Regular source of lighting",18,"18-30-59-58","Tier 1","Tier 0",0
"11893",10028507381901,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11894",10028507381901," Radio","Yes",1,3000,12,5,"Back-up source of lighting",6,"18-30-59-58","Tier 1","Tier 0",0
"11895",10028507381901,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11896",10028507382101,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 0","Tier 0",0
"11897",10028507382101,"Flashlights","Yes",1,100,12,5,"Regular source of lighting",15,"86-92-75-28","Tier 0","Tier 0",0
"11898",10028507382101,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 0","Tier 0",0
"11899",10028507382101," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 0","Tier 0",0
"11900",10028507382101,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 0","Tier 0",0
"11901",10028507382501,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11902",10028507382501,"Flashlights","Yes",2,250,12,6,"Regular source of lighting",24,"76-53-33-03","Tier 1","Tier 0",0
"11903",10028507382501,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11904",10028507382501," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11905",10028507382501,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11906",10028507382602,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11907",10028507382602,"Flashlights","Yes",2,250,12,5,"Regular source of lighting",18,"27-09-55-39","Tier 1","Tier 0",0
"11908",10028507382602,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11909",10028507382602," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11910",10028507382602,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11911",10028507382801,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11912",10028507382801,"Flashlights","Yes",2,200,12,5,"Regular source of lighting",24,"71-60-80-98","Tier 1","Tier 0",0
"11913",10028507382801,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11914",10028507382801," Radio","Yes",2,2000,12,2,"No light available",4,"71-60-80-98","Tier 1","Tier 0",0
"11915",10028507382801,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11916",10028507383301,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11917",10028507383301,"Flashlights","Yes",1,100,12,11,"Regular source of lighting",15,"02-65-59-55","Tier 1","Tier 0",0
"11918",10028507383301,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11919",10028507383301," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11920",10028507383301,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11921",10028507383901,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11922",10028507383901,"Flashlights","Yes",2,500,12,2,"Regular source of lighting",12,"52-29-29-92","Tier 1","Tier 0",0
"11923",10028507383901,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11924",10028507383901," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11925",10028507383901,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11926",10028507384002,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11927",10028507384002,"Flashlights","Yes",4,60,12,10,"Regular source of lighting",24,"35-70-27-10","Tier 1","Tier 0",0
"11928",10028507384002,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11929",10028507384002," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11930",10028507384002,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11931",10028507384003,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11932",10028507384003,"Flashlights","Yes",2,150,12,8,"Regular source of lighting",6,"91-94-64-21","Tier 1","Tier 0",0
"11933",10028507384003,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11934",10028507384003," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11935",10028507384003,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"11936",10029502340601,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11937",10029502340601,"Flashlights","Yes",3,150,12,10,"Back-up source of lighting",12,"60-40-57-49","Tier 1","Tier 3",0
"11938",10029502340601,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11939",10029502340601," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11940",10029502340601,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11941",10029502340701,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 4",0
"11942",10029502340701,"Flashlights","Yes",2,150,12,3,"Back-up source of lighting",8,"68-18-82-43","Tier 1","Tier 4",0
"11943",10029502340701,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 4",0
"11944",10029502340701," Radio","Yes",1,1500,12,3,"No light available",4,"68-18-82-43","Tier 1","Tier 4",0
"11945",10029502340701,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 4",0
"11946",10029502340901,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11947",10029502340901,"Flashlights","Yes",1,200,12,8,"Back-up source of lighting",8,"39-14-33-04","Tier 1","Tier 3",0
"11948",10029502340901,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
"11949",10029502340901," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 3",0
