"","hh_id","solar_id","c143","c144","c145","c146","c147","c148","c149","c150","c151","c153","c154","c155","c156","c157","c156a","c158","c158a","c159","c160","c161","c162","c163","c164","c165","c166","elc_aggr_tier","locality","c137","c138","c139","sum_solar","c169a","c170a","c171a","c169b","c170b","c171b","c172","c174","c176","c177","c178","c179","c_179oth","c180","c181","c182","c182_oth","c183","percent_lantern","percent_lighting","percent_home"
"27",10015508141401,4,"DON'T KNOW","No","No","Solar Lantern",NA,888,"Don't Know",888,"No",3,"Head","Bought, fully paid",NA,5000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",8,"No problems","Tier 3",1,1,1,2,4,NA,NA,NA,8,4,8,"No","No","Very satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","Solar Lantern","",3,25,25,50
"28",10015508141401,5,"SAMSUNG","Yes","Yes","Solar Lantern",NA,888,"Don't Know",888,"Yes",2,"Wife/Spouse","Bought, fully paid",NA,35000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",12,"No problems","Tier 3",1,1,1,2,4,NA,NA,NA,8,4,8,"No","No","Very satisfied",2015,"No","National Grid Connection/NEPA/PHCN","","Use more solar lighting","Radio","Solar Lantern","",3,25,25,50
"29",10015544720203,1,"Samsung","Yes","No","Solar Lighting product",1,888,"20cm x20cm or smaller",2,"No",1,"Child/adopted child","Bought, fully paid",NA,6500,NA,NA,NA,NA,NA,NA,NA,"No","Yes",2,"No problems","Tier 3",1,0,1,0,1,NA,NA,NA,2,2,2,"No","Yes","Very satisfied",2017,"No","National Grid Connection/NEPA/PHCN","","Use less solar lighting",NA,"National Grid Connection","",6,0,100,0
"30",10017518560601,1,"xantrex","No","No","Solar Home system",10,888,"Don't Know",420,"Yes",2,"Head","Bought, fully paid",NA,7e+05,NA,NA,NA,NA,NA,NA,NA,"No","Yes",20,"Battery problems","Tier 3",1,0,0,1,1,NA,NA,NA,20,4,20,"No","No","Very satisfied",2015,"Yes",NA,"","Use more solar lighting","Other, specify","Solar Home System","",3,0,0,100
"31",10019500141501,1,"Don't  know","No","No","Solar Lighting product",4,888,"Don't Know",888,"No",3,"Wife/Spouse","Bought, fully paid",NA,8000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",15,"No problems","Tier 1",0,0,1,0,1,NA,NA,NA,15,4,15,"No","Yes","Very satisfied",2014,"Yes",NA,"","Use more solar lighting","No change","Dry-cell battery","",0,0,100,0
"32",10036504120701,1,"MTN","Yes","No","Solar Lighting product",3,888,"40cm x 40cm",60,"Yes",1,"Head","Bought, fully paid",NA,20000,NA,NA,NA,NA,NA,NA,NA,"No","Yes",12,"Cannot power large appliances","Tier 1",1,0,1,0,1,NA,NA,NA,12,4,12,"No","Yes","Somewhat satisfied",2016,"Yes",NA,"","Use about the same solar lighting","No change","Solar Multi-Light Product","",4,0,100,0
"33",10040510241405,1,"azuri","Yes","Yes","Solar Lighting product",4,4,"20cm x20cm or smaller",7,"Yes",1,"Head","Bought, under installment",NA,NA,"Partial amount",6000,30000,3,0,"Fixed fee",1000,"No","Yes",24,"Cannot power large appliances","Tier 1",1,0,1,0,1,NA,NA,NA,24,4,24,"No","Yes","Very satisfied",2017,"No","Dry-cell (non-rechargeable) battery/ Torch/Flashlight","","Use more solar lighting","Refrigerator","Solar Multi-Light Product","",1,0,100,0
"34",10040510242602,1,"azuri","Yes","Yes","Solar Lighting product",4,4,"20cm x20cm or smaller",7,"Yes",1,"Head","Bought, under installment",NA,NA,"Partial amount",6000,30000,3,0,"Fixed fee",1000,"No","Yes",12,"No problems","Tier 1",1,0,1,0,1,NA,NA,NA,24,4,12,"No","No","Very satisfied",2017,"No","Dry-cell (non-rechargeable) battery/ Torch/Flashlight","","Use about the same solar lighting","No change","Solar Multi-Light Product","",1,0,100,0
"35",10040510243601,1,"Azuri","Yes","Yes","Solar Lighting product",4,4,"20cm x20cm or smaller",7,"Yes",1,"Head","Bought, under installment",NA,NA,"Partial amount",5000,31000,3,0,"Fixed fee",31000,"No","Yes",8,"No problems","Tier 1",1,0,1,0,1,NA,NA,NA,8,4,8,"No","Yes","Very satisfied",2017,"Yes",NA,"","Use more solar lighting","No change","Solar Multi-Light Product","",1,0,100,0
"36",10040510243705,1,"azuri","Yes","Yes","Solar Lighting product",4,4,"20cm x20cm or smaller",7,"Yes",1,"Head","Bought, under installment",NA,NA,"Partial amount",6000,30000,3,0,"Fixed fee",1000,"No","Yes",24,"No problems","Tier 1",1,0,1,0,1,NA,NA,NA,24,4,24,"No","No","Very satisfied",2017,"No","Dry-cell (non-rechargeable) battery/ Torch/Flashlight","","Use about the same solar lighting","No change","Solar Multi-Light Product","",1,0,100,0
